"","B","C1","C2","D","E","F","G","H","I","J","K","L","M","N","P","Q","T","U","X","Y"
"44","c","a","a","b","a","c","a","a","c","b","c","c","a","a","a","c","a","a","a","a"
"45","c","a","c","b","a","c","a","a","a","b","c","b","a","b","b","b","b","b","b","c"
"46","a","a","a","b","a","c","a","a","c","b","c","a","b","c","c","c","b","a","a","c"
"47","a","a","a","b","a","c","a","a","c","a","c","c","a","a","c","a","a","a","c","a"
"48","c","a","b","a","c","b","a","a","b","b","c","a","b","a","a","b","a","c","a","a"
"49","c","c","b","b","a","c","a","a","c","b","a","b","c","b","a","a","a","c","c","a"
"50","b","b","a","b","b","b","c","a","b","b","c","a","b","c","a","a","a","a","a","a"
"51","b","c","c","c","a","a","a","a","a","a","b","a","b","c","c","a","c","b","c","a"
"52","b","a","a","b","c","a","b","a","b","b","c","a","b","c","c","c","a","a","a","a"
"53","a","b","b","c","c","b","a","c","b","a","c","c","a","a","c","a","c","c","c","b"
"54","b","a","a","b","a","c","b","a","a","c","b","b","a","a","a","b","a","b","a","a"
"55","c","c","a","c","a","b","a","a","b","b","c","a","c","b","c","c","a","b","a","a"
"56","b","a","c","b","c","c","a","c","b","c","b","c","b","b","a","a","a","b","c","a"
"57","b","b","a","b","a","a","a","a","b","b","c","c","b","c","a","b","a","c","a","a"
"58","c","c","c","a","c","a","a","c","b","a","c","c","c","c","c","c","c","b","c","a"
"59","a","b","c","c","b","c","a","b","b","c","b","c","a","a","a","a","a","b","c","a"
"60","a","a","a","b","a","c","a","a","b","a","c","a","b","c","a","a","a","a","c","a"
"61","a","b","b","b","a","c","b","b","a","c","a","b","a","a","c","a","c","c","c","a"
"62","c","a","b","b","a","a","a","c","b","b","c","b","a","a","a","a","a","c","b","a"
"63","b","a","a","b","c","a","a","a","c","b","c","b","a","a","a","a","a","b","a","a"
"64","b","c","a","b","a","c","a","a","a","b","c","a","b","c","c","a","a","b","a","b"
"65","b","c","a","b","c","c","a","c","b","b","b","c","a","a","a","a","a","b","a","a"
"66","a","b","b","b","a","c","a","a","a","b","c","c","b","c","a","a","c","c","b","a"
"67","a","c","c","b","c","c","b","a","b","b","c","b","a","a","c","c","b","c","b","b"
"68","b","c","a","b","a","b","a","a","c","b","c","a","b","c","c","a","a","a","a","a"
"69","b","b","b","b","a","b","a","a","c","c","a","c","c","b","a","b","a","c","c","a"
"70","b","a","a","b","a","b","a","a","b","b","c","c","b","a","b","a","b","b","a","b"
"71","b","c","a","b","a","c","b","b","a","b","b","c","c","c","b","c","a","b","a","a"
"72","c","a","a","a","c","a","a","b","b","c","b","b","a","b","c","c","c","a","c","a"
"73","b","a","b","a","c","a","c","a","b","a","c","b","a","a","a","a","a","a","b","a"
"74","b","a","b","c","a","b","a","a","b","c","b","c","c","b","c","c","c","a","b","b"
"75","a","c","a","a","c","a","a","c","c","b","c","a","b","a","b","b","a","b","a","a"
"76","b","a","c","b","a","a","a","a","b","b","c","c","b","a","b","b","b","a","b","c"
"77","a","b","a","a","a","a","a","a","c","b","c","c","a","a","a","b","a","b","a","a"
"78","b","a","a","c","a","a","a","a","b","b","c","a","b","c","a","a","a","a","a","b"
"79","b","b","b","a","c","a","a","a","b","b","c","a","b","a","c","a","b","b","b","c"
"80","c","a","c","a","b","a","a","b","c","b","b","c","a","a","a","b","c","b","c","b"
"81","a","a","a","a","b","c","c","a","a","a","b","c","a","a","a","a","a","a","a","a"
"82","b","a","a","b","c","b","a","c","b","b","c","b","a","a","c","a","c","a","a","c"
"83","c","a","b","b","a","c","a","a","b","b","c","a","b","c","c","a","c","a","c","b"
"84","c","b","b","b","c","b","b","a","b","a","c","c","b","c","a","a","a","c","c","c"
"85","a","c","a","b","b","c","a","b","c","c","b","c","a","a","b","b","b","b","b","a"
"86","c","c","c","b","a","b","b","a","c","b","c","a","b","a","a","a","c","a","c","a"
"87","b","b","c","b","b","b","a","a","b","b","c","a","b","a","b","b","a","b","c","a"
"88","c","c","c","a","a","a","c","b","c","b","c","c","c","a","b","b","b","c","c","c"
"89","c","a","c","b","a","a","a","a","a","a","a","b","a","a","a","b","b","a","b","c"
"90","a","a","a","b","c","b","b","c","b","a","b","c","a","a","a","a","a","b","a","a"
"91","b","a","b","b","b","a","a","b","b","c","b","c","a","a","a","c","c","c","b","b"
"92","b","a","a","c","a","b","a","a","a","b","c","b","c","c","b","c","a","a","a","a"
"93","c","c","c","b","c","b","a","c","b","a","a","b","a","a","b","b","b","c","b","c"
"94","b","a","a","b","c","b","b","a","b","b","c","b","a","a","a","a","a","b","a","a"
"95","b","a","a","c","b","b","a","b","b","b","c","c","c","a","b","a","a","b","a","a"
"96","b","c","c","b","a","b","a","a","c","b","c","a","b","a","b","b","b","c","b","b"
"97","a","a","c","c","a","c","a","a","b","b","c","c","a","a","c","c","c","b","b","b"
"98","c","a","c","a","b","b","c","a","b","b","c","b","a","c","a","a","a","a","c","a"
"99","c","a","a","b","a","a","a","a","b","b","b","c","b","a","c","c","b","a","a","b"
"100","c","c","c","a","a","a","a","a","b","b","c","c","b","c","a","a","a","b","a","a"
"101","a","c","a","c","a","a","b","c","b","b","c","b","a","a","c","a","c","c","a","a"
"102","a","c","b","b","c","c","a","c","b","b","c","a","b","c","c","a","a","b","c","a"
"103","a","c","a","b","a","c","a","a","a","a","c","b","a","b","a","a","c","c","c","a"
"104","a","b","c","b","c","b","a","a","b","b","c","b","a","a","c","a","b","c","b","a"
"105","b","b","b","b","a","c","a","a","b","a","c","b","c","c","a","a","c","c","c","a"
"106","c","c","b","a","a","c","a","a","b","b","b","c","c","c","b","b","b","c","b","c"
"107","b","a","b","b","a","a","a","a","c","b","a","b","b","c","c","c","b","c","c","c"
"108","b","a","a","c","a","a","a","a","a","b","c","c","a","a","a","c","a","b","a","a"
"109","a","b","c","c","c","c","a","c","b","b","a","b","b","a","b","b","b","c","b","a"
"110","a","c","b","b","a","b","a","a","a","a","c","c","c","c","a","a","c","c","c","a"
"111","a","a","b","b","b","b","a","b","a","b","c","b","a","a","a","b","c","a","c","b"
"112","b","a","a","b","c","b","a","a","b","b","b","c","c","c","a","a","c","a","a","b"
"113","a","a","a","b","c","b","a","c","b","c","b","c","b","c","b","c","a","b","b","a"
"114","a","a","c","b","a","a","a","a","c","b","c","a","b","c","a","b","b","a","b","c"
"115","b","b","a","c","b","b","b","a","c","c","c","a","b","c","b","a","a","a","b","b"
"116","c","b","c","a","a","b","a","a","a","c","a","b","a","c","c","c","c","c","c","a"
"117","a","a","c","b","a","b","a","a","a","b","c","a","b","c","c","a","a","b","b","a"
"118","a","b","b","c","a","a","a","a","c","b","c","c","c","c","a","a","a","a","c","a"
"119","a","c","a","b","a","c","c","a","b","b","c","b","a","a","a","a","a","b","a","c"
"120","b","b","c","b","a","c","a","a","b","b","c","b","a","a","c","a","c","c","b","a"
"121","a","c","a","b","b","c","a","b","b","b","c","a","c","a","a","a","a","b","a","a"
"122","a","c","c","b","a","b","a","a","b","b","a","c","c","c","a","a","c","c","c","b"
"123","b","c","b","c","b","b","b","c","c","c","c","a","b","b","a","a","a","c","c","a"
"124","a","a","a","b","a","a","a","a","b","b","c","b","a","c","b","b","a","a","a","a"
"125","b","a","a","b","a","a","b","b","b","b","c","c","c","c","a","a","c","b","a","b"
"126","b","c","b","c","a","b","a","a","c","b","c","c","a","a","a","c","a","b","a","a"
"127","c","c","b","b","a","a","a","a","b","c","c","b","a","c","c","a","c","c","c","a"
"128","a","c","a","b","b","b","a","b","c","b","c","b","c","c","b","b","b","b","a","c"
"129","a","b","c","c","b","a","a","b","a","b","c","a","b","a","a","b","c","c","b","a"
"130","c","b","b","c","c","b","c","a","b","b","c","a","a","a","a","b","c","c","c","b"
"131","a","c","b","b","a","a","a","a","c","c","c","b","a","a","a","a","a","c","a","a"
"132","a","b","b","b","b","c","a","b","c","c","b","c","a","a","a","b","a","c","b","a"
"133","b","a","b","b","a","c","a","a","a","a","c","c","c","c","a","b","b","b","a","c"
"134","b","a","a","b","a","a","c","a","c","b","c","b","a","a","a","c","b","a","a","a"
"135","b","a","a","a","b","a","c","b","c","c","a","b","c","c","a","a","c","c","b","b"
"136","b","a","a","c","c","b","b","a","b","c","a","a","c","c","a","b","a","a","a","a"
"137","b","a","b","a","a","a","a","a","b","a","c","c","c","c","a","b","b","c","a","c"
"138","b","b","a","b","b","c","b","c","a","c","c","a","b","b","a","a","a","a","a","a"
"139","c","a","c","a","c","a","a","c","a","b","c","c","b","c","a","a","a","a","c","a"
"140","a","a","a","b","c","b","a","c","b","b","c","b","b","a","a","a","a","a","a","c"
"141","a","a","a","b","a","a","a","a","c","b","c","a","b","a","c","c","b","a","a","c"
"142","c","b","b","b","a","b","a","a","a","b","c","a","b","a","c","a","c","b","c","a"
"143","c","a","c","a","a","a","b","b","c","a","c","a","b","c","b","a","a","b","a","a"
"144","b","b","a","c","a","c","a","a","c","a","b","b","a","a","b","b","b","b","b","a"
"145","b","b","a","a","b","a","a","b","a","b","c","c","b","a","b","b","a","c","a","a"
"146","a","a","a","a","c","a","b","c","b","b","a","b","a","a","b","c","a","a","a","b"
"147","b","c","a","c","a","c","a","a","c","b","c","b","a","a","a","a","a","c","a","b"
"148","a","b","c","b","c","b","b","a","b","c","c","a","b","b","c","a","c","a","c","a"
"149","a","a","a","a","b","c","a","b","b","a","b","a","c","c","a","a","b","b","b","c"
"150","a","c","c","b","a","a","a","a","b","c","c","b","a","a","a","a","a","a","a","b"
"151","a","a","c","c","a","b","c","a","c","b","c","c","b","a","c","c","a","a","c","a"
"152","c","c","b","b","a","b","a","a","b","b","c","c","a","a","a","a","a","b","c","a"
"153","a","a","a","b","a","c","a","a","a","b","c","a","b","a","b","b","b","a","a","c"
"154","b","a","a","a","a","a","b","a","a","b","b","c","a","a","a","c","c","a","a","b"
"155","b","c","b","b","a","a","a","a","a","b","c","b","b","a","b","c","b","c","c","c"
"156","b","c","a","c","c","a","a","c","b","a","b","c","b","a","a","a","a","b","a","a"
"157","a","a","a","c","a","a","a","a","b","b","c","a","b","c","a","a","a","a","a","b"
"158","b","c","a","b","c","b","b","a","b","b","c","b","a","a","b","b","b","b","a","a"
"159","c","a","c","a","a","a","a","a","c","b","c","b","a","a","c","a","b","a","b","a"
"160","c","a","c","a","a","b","a","a","b","b","c","a","b","a","a","a","a","b","c","a"
"161","c","b","c","a","c","c","b","a","b","b","c","c","a","b","a","c","c","c","c","a"
"162","c","a","a","b","c","c","a","c","a","b","c","a","b","a","a","a","a","a","a","b"
"163","b","a","c","b","a","b","a","a","a","b","a","a","b","b","c","a","c","b","c","a"
"164","b","c","b","b","b","c","a","b","a","b","c","a","c","c","c","c","c","c","b","a"
"165","a","a","a","b","c","c","a","c","b","b","c","b","a","a","c","a","c","b","a","a"
"166","b","a","c","c","a","b","a","a","a","b","b","c","a","a","b","c","b","b","a","c"
"167","a","a","a","b","a","b","a","a","b","a","b","b","a","a","c","a","a","a","c","b"
"168","c","a","c","a","c","a","a","c","a","b","c","a","a","a","c","a","b","c","b","a"
"169","a","a","a","b","a","a","a","a","b","b","c","a","b","a","b","c","a","a","a","a"
"170","b","a","b","a","a","b","a","a","b","b","c","b","a","a","a","a","a","c","c","a"
"171","a","c","a","c","a","b","a","a","c","c","b","c","b","c","c","a","b","a","b","b"
"172","a","c","a","b","a","c","a","a","b","c","c","a","c","c","a","a","c","c","c","a"
"173","b","a","c","c","c","b","b","a","c","a","b","c","c","c","b","b","b","b","b","c"
"174","a","c","a","b","b","c","a","b","b","b","c","a","c","b","c","a","a","a","a","c"
"175","c","b","c","a","a","a","b","b","c","a","a","b","a","b","b","b","b","c","b","a"
"176","c","a","c","a","a","c","a","a","a","b","a","b","a","a","a","c","a","a","a","a"
"177","b","a","a","c","a","b","a","a","c","a","b","c","b","a","a","b","a","a","c","a"
"178","c","a","a","a","a","a","a","a","a","c","a","b","b","b","b","c","c","a","a","b"
"179","b","a","a","c","b","b","a","b","c","b","b","c","a","a","c","c","a","a","a","a"
"180","a","a","c","b","a","c","a","b","b","c","c","c","b","a","a","b","c","a","c","b"
"181","b","b","b","c","a","b","a","a","c","b","c","b","a","a","a","a","a","b","c","a"
"182","b","a","a","b","c","a","b","a","b","b","c","b","a","a","a","a","b","a","a","c"
"183","c","c","c","a","c","b","c","c","b","c","a","b","a","b","c","a","c","c","c","a"
"184","c","a","c","a","b","a","a","b","a","b","b","c","b","c","b","b","b","a","b","c"
"185","a","a","a","b","a","c","a","a","b","b","c","a","b","c","a","a","a","a","a","a"
"186","a","a","a","b","c","b","b","c","b","c","b","c","b","b","c","c","b","a","a","b"
"187","a","a","a","b","c","a","b","a","b","b","c","b","b","a","b","a","a","a","a","b"
"188","a","a","a","a","a","b","b","b","c","a","c","a","b","b","c","a","c","a","c","b"
"189","c","c","a","a","b","b","c","c","a","a","b","a","b","c","b","c","b","b","b","c"
"190","a","a","a","c","c","a","b","a","b","b","c","a","b","c","a","a","a","a","a","a"
"191","b","c","c","b","a","c","b","a","b","b","b","c","c","c","b","c","b","c","b","b"
"192","a","a","a","b","a","c","a","a","b","a","a","b","a","a","a","c","c","a","c","b"
"193","b","b","a","b","c","c","a","b","b","b","c","a","b","c","a","c","a","c","a","a"
"194","c","a","a","b","c","b","a","c","b","b","c","a","b","a","a","a","a","a","a","a"
"195","a","c","a","a","b","a","a","b","c","b","c","c","b","c","a","c","a","a","a","b"
"196","a","b","a","b","b","b","a","b","b","b","b","c","a","a","a","a","a","b","a","a"
"197","b","a","b","b","b","c","b","c","b","a","b","c","a","a","c","c","c","a","c","b"
"198","a","a","a","b","a","b","a","a","b","b","c","a","b","c","a","a","a","a","a","a"
"199","c","a","c","a","c","a","b","a","b","b","a","b","a","a","a","a","a","a","c","a"
"200","c","a","b","b","a","c","b","b","b","b","c","b","a","a","a","a","a","c","c","c"
"201","b","a","a","c","a","a","a","a","b","c","c","b","a","a","a","b","b","a","b","c"
"202","a","a","a","c","a","a","a","a","a","c","b","c","a","a","c","a","b","a","b","c"
"203","a","c","a","b","a","c","a","a","b","b","a","c","b","a","a","a","a","b","a","c"
"204","b","a","a","b","b","b","a","b","b","a","b","a","a","a","c","a","a","a","a","a"
"205","a","c","c","b","a","a","a","a","a","b","c","a","b","a","a","a","b","a","b","b"
"206","a","c","a","c","a","b","a","a","c","b","c","b","a","a","a","a","a","a","a","a"
"207","a","c","a","b","b","c","a","b","c","b","c","a","a","a","c","a","c","b","c","a"
"208","b","c","a","c","a","a","a","a","b","a","b","a","c","c","b","a","a","c","c","a"
"209","a","a","a","a","b","a","a","a","b","b","b","c","a","a","a","b","a","a","a","c"
"210","b","a","c","c","b","a","a","b","a","b","c","a","b","a","b","b","a","a","b","b"
"211","c","c","b","b","a","c","a","a","a","c","b","c","c","b","a","c","a","b","a","a"
"212","c","b","c","b","c","c","a","a","b","c","a","b","a","a","b","b","a","b","c","a"
"213","b","b","b","b","b","a","a","b","a","b","a","b","b","c","a","b","a","c","a","a"
"214","b","c","a","c","a","b","a","a","b","b","b","a","c","c","a","a","a","a","a","b"
"215","a","b","a","c","c","b","a","c","b","b","b","b","a","a","b","b","a","a","a","a"
"216","b","c","c","b","a","a","a","a","b","b","c","c","b","a","b","b","b","b","b","b"
"217","a","c","b","a","a","a","a","a","b","b","c","c","a","a","a","b","c","c","c","b"
"218","a","b","a","a","c","b","a","a","b","b","c","b","a","a","c","c","b","b","a","a"
"219","a","c","c","c","a","b","a","a","b","b","c","c","b","a","a","a","c","b","b","a"
"220","b","b","c","b","a","a","a","a","c","b","b","c","c","c","c","a","c","c","c","a"
"221","b","a","c","b","c","b","a","a","a","b","b","a","c","b","a","b","c","a","a","a"
"222","b","c","a","c","a","b","a","a","a","b","a","a","c","c","b","c","b","b","a","c"
"223","a","a","a","a","a","a","b","c","b","b","a","b","a","a","a","a","a","a","a","a"
"224","a","c","b","a","a","c","a","a","b","b","c","c","c","a","a","a","a","c","c","a"
"225","c","b","b","b","b","a","a","c","c","b","c","a","b","c","a","a","a","c","c","a"
"226","b","a","a","b","a","c","a","a","b","b","c","a","b","a","b","c","a","b","a","a"
"227","a","a","a","b","a","c","a","a","b","b","c","a","b","c","b","b","b","a","a","c"
"228","a","a","a","a","c","a","a","c","b","b","b","c","a","b","a","a","a","b","a","a"
"229","a","b","a","b","b","c","a","b","c","b","c","a","b","a","a","a","a","b","a","a"
"230","a","a","c","b","b","a","a","b","b","a","b","a","a","a","a","a","a","c","b","a"
"231","b","b","c","c","c","a","a","b","b","b","c","a","b","a","b","b","a","a","a","a"
"232","b","a","a","b","c","a","a","b","b","b","c","c","c","c","c","a","a","a","a","a"
"233","b","a","a","a","c","b","a","c","b","b","c","b","a","b","a","a","c","a","a","b"
"234","b","b","a","c","a","b","b","a","a","b","a","a","a","a","c","a","b","b","a","a"
"235","c","b","c","a","a","a","a","a","b","b","c","c","c","c","a","c","c","c","b","a"
"236","a","a","c","c","a","a","b","b","c","b","b","a","c","c","a","a","a","a","b","a"
"237","b","a","b","c","c","b","b","a","b","b","b","c","c","b","a","a","b","c","b","c"
"238","c","b","b","a","a","b","a","a","c","c","b","b","a","c","c","a","b","c","b","c"
"239","a","a","a","a","a","b","a","a","c","b","c","c","a","a","a","b","a","b","a","a"
"240","a","c","b","b","b","c","a","b","b","c","c","a","b","c","c","a","c","c","c","a"
"241","a","c","c","b","a","c","a","a","a","c","a","b","a","a","a","a","a","a","c","b"
"242","b","b","c","c","c","b","a","b","c","a","b","c","a","a","a","a","b","c","b","a"
"243","a","b","a","c","a","c","a","a","b","b","c","a","c","c","b","c","b","b","a","c"
"244","b","b","b","c","a","a","a","a","b","c","c","a","b","c","c","a","c","c","c","c"
"245","b","c","b","b","c","b","a","c","b","b","c","c","a","a","b","b","b","c","a","b"
"246","a","a","a","b","a","c","b","a","b","b","c","c","b","a","c","a","c","a","a","b"
"247","b","b","a","c","c","a","a","a","b","c","a","a","a","a","c","a","a","b","a","a"
"248","b","b","b","b","c","b","b","a","b","b","c","b","a","a","a","c","c","c","c","a"
"249","b","c","a","c","a","a","a","a","a","b","c","c","b","a","a","a","a","a","a","a"
"250","a","b","a","a","b","a","a","a","b","b","c","a","b","c","a","a","b","a","a","c"
"251","b","a","a","b","b","a","a","a","b","a","b","c","c","c","a","a","c","a","c","b"
"252","c","a","a","b","a","b","a","a","c","c","c","a","b","c","a","a","b","c","b","c"
"253","b","a","a","b","b","b","b","c","b","b","c","a","a","a","a","a","a","b","a","a"
"254","c","b","c","b","c","c","b","a","b","b","c","c","a","a","c","c","c","b","c","a"
"255","b","a","a","b","b","c","a","b","b","b","b","c","b","c","a","b","c","a","a","c"
"256","b","c","a","b","a","c","b","a","c","b","b","c","b","a","c","a","a","b","a","a"
"257","a","b","a","b","a","c","b","c","b","b","c","b","a","a","c","a","a","b","a","a"
"258","b","c","b","b","b","b","a","b","c","c","b","a","a","a","b","c","c","c","c","a"
"259","c","b","a","b","a","c","a","a","b","b","b","c","b","a","c","c","a","b","a","a"
"260","b","a","a","c","b","a","a","b","b","b","c","a","b","b","b","b","a","a","a","a"
"261","c","b","b","b","a","c","a","a","b","b","c","a","b","a","a","b","a","c","a","a"
"262","b","c","b","a","b","b","b","c","c","c","a","c","c","c","c","c","c","a","c","a"
"263","a","c","b","b","b","b","b","a","c","b","c","c","b","a","c","c","c","b","c","a"
"264","b","b","c","c","a","b","a","a","b","a","b","b","c","c","c","a","c","a","a","a"
"265","c","b","c","b","a","c","a","a","c","b","c","a","a","a","a","a","a","c","a","a"
"266","a","b","c","b","b","a","b","c","a","b","c","c","c","c","b","c","b","a","b","a"
"267","a","a","a","a","a","a","b","b","b","b","c","a","b","c","a","a","a","b","a","a"
"268","b","a","a","b","c","b","a","c","b","b","c","b","a","a","b","b","b","a","a","c"
"269","b","c","a","b","a","b","a","a","a","b","c","b","a","a","b","c","a","b","a","a"
"270","b","b","c","c","b","b","b","c","b","b","c","c","c","c","a","a","a","b","b","a"
"271","a","a","a","a","a","c","a","a","c","b","a","a","b","a","a","b","a","a","a","a"
"272","c","a","c","a","c","a","b","c","b","a","c","b","b","c","a","b","b","a","b","c"
"273","b","a","a","b","c","a","a","a","b","b","c","c","c","c","c","c","a","a","a","a"
"274","a","b","a","c","a","b","b","b","b","b","b","c","c","c","a","a","b","b","a","b"
"275","c","a","c","b","a","c","a","c","a","c","b","c","a","a","a","c","a","a","c","a"
"276","a","c","a","b","a","b","a","a","c","b","c","a","b","a","a","a","a","c","a","a"
"277","b","a","a","b","a","c","b","b","c","a","c","b","a","a","c","a","c","a","b","b"
"278","a","c","a","c","b","a","a","a","a","b","c","a","b","a","c","a","c","b","a","b"
"279","a","a","c","c","c","a","b","a","a","b","a","b","a","a","a","a","a","a","c","b"
"280","a","a","c","c","b","a","a","b","c","b","c","a","b","a","c","a","b","b","a","c"
"281","c","c","a","b","a","c","a","a","b","b","b","c","a","a","a","a","a","b","a","a"
"282","b","a","a","b","c","c","a","c","a","c","c","a","b","b","b","b","c","a","c","b"
"283","b","a","a","c","c","a","a","c","b","b","c","a","b","c","c","a","a","a","a","a"
"284","a","a","b","a","a","b","a","a","c","b","c","a","b","a","c","c","c","c","c","b"
"285","a","b","a","b","b","b","a","b","b","c","b","a","b","b","a","a","a","a","a","a"
"286","a","a","a","b","b","c","a","a","b","a","c","b","b","c","c","c","b","a","c","c"
"287","a","a","a","b","c","c","b","a","a","b","c","a","a","a","a","c","a","b","a","a"
"288","b","c","a","b","a","c","a","a","c","c","b","c","c","b","b","b","b","c","c","b"
"289","b","c","a","b","a","c","a","a","b","a","b","c","b","c","b","b","b","c","c","a"
"290","b","a","a","c","c","b","a","a","a","b","c","b","a","a","b","c","b","b","a","c"
"291","b","c","c","c","c","a","a","b","b","a","b","c","a","b","c","a","c","c","c","b"
"292","a","a","a","b","c","c","b","a","c","b","b","c","c","c","b","b","a","a","a","a"
"293","b","a","a","b","a","c","a","a","b","a","c","b","b","c","a","a","c","a","c","a"
"294","a","a","b","a","b","a","a","b","b","b","c","c","c","c","a","a","a","c","c","a"
"295","b","b","a","b","a","b","a","a","a","b","c","b","a","a","c","b","a","b","a","a"
"296","a","a","a","b","b","c","a","a","b","c","a","b","a","a","a","a","a","b","a","a"
"297","b","b","a","a","b","c","a","a","a","b","b","c","c","c","a","a","a","c","a","a"
"298","b","a","a","c","a","b","a","a","a","b","c","b","a","a","a","a","a","a","a","c"
"299","b","a","c","c","a","a","a","a","b","b","c","a","b","a","a","c","b","c","b","b"
"300","a","a","b","b","b","a","a","b","b","b","b","c","a","a","a","a","a","c","c","a"
"301","b","c","b","c","c","b","a","c","b","c","b","c","a","a","c","a","b","b","b","b"
"302","b","a","c","c","a","a","a","a","a","b","b","c","a","a","a","a","a","c","c","a"
"303","b","a","a","b","b","c","b","c","c","b","c","b","a","a","a","c","a","a","a","a"
"304","b","b","b","c","c","b","a","a","b","b","b","c","b","c","b","b","a","c","b","a"
"305","a","a","a","a","c","a","a","c","a","b","b","c","c","c","a","c","a","b","a","a"
"306","b","a","c","b","b","c","b","c","a","b","a","b","a","a","c","c","b","b","b","c"
"307","c","b","c","a","c","b","a","c","b","a","b","c","c","a","c","a","c","c","b","a"
"308","a","a","b","c","a","b","a","a","c","b","c","c","c","c","a","a","b","a","b","a"
"309","a","a","c","b","c","c","a","c","b","b","c","b","a","a","a","b","a","a","c","a"
"310","c","c","a","a","c","b","a","c","b","b","c","a","b","a","b","b","a","b","a","a"
"311","a","a","a","a","a","c","a","a","a","c","a","b","b","b","c","c","b","a","c","a"
"312","a","a","a","c","c","b","a","a","b","a","b","c","c","c","a","b","a","a","c","a"
"313","a","c","b","c","b","a","a","a","a","b","b","c","c","c","c","c","a","b","a","a"
"314","a","c","b","b","b","a","a","c","c","b","a","b","a","a","c","a","c","c","c","a"
"315","b","c","c","c","a","a","a","a","a","b","c","c","b","a","a","c","a","c","c","b"
"316","c","a","c","a","a","a","a","a","b","a","c","a","b","c","a","a","c","b","c","c"
